               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034191,            0.013166,          0.00084964,             0.95551,             0.88396,             0.93914,             0.61778,             0.02876,           0.0069203,           0.0011433,             0.00307,             0.00307,             0.00307
                  37,            0.033859,             0.01307,          0.00083397,             0.94727,              0.8988,             0.94634,             0.61825,            0.028782,            0.006884,           0.0013537,            0.002872,            0.002872,            0.002872
                  38,            0.033902,            0.012881,          0.00099285,             0.96559,             0.87257,             0.94221,             0.61287,            0.028932,           0.0068927,           0.0017204,            0.002674,            0.002674,            0.002674
                  39,            0.033547,             0.01292,          0.00069985,             0.96073,             0.87599,             0.94358,             0.61074,            0.029286,           0.0070489,           0.0015282,            0.002476,            0.002476,            0.002476
                  40,            0.032809,            0.012673,          0.00074474,              0.9513,             0.89548,             0.94812,             0.61632,            0.028732,            0.006874,           0.0016588,            0.002278,            0.002278,            0.002278
                  41,            0.032887,            0.012605,          0.00075205,             0.96367,             0.87695,             0.94771,             0.62053,            0.028623,           0.0068061,           0.0015337,             0.00208,             0.00208,             0.00208
                  42,            0.032598,            0.012515,          0.00060165,             0.96125,             0.88492,             0.94595,              0.6237,            0.028667,           0.0068866,           0.0014977,            0.001882,            0.001882,            0.001882
                  43,             0.03229,             0.01253,          0.00060709,             0.96836,             0.87919,              0.9536,              0.6183,            0.028683,           0.0068748,            0.001466,            0.001684,            0.001684,            0.001684
                  44,            0.031975,            0.012379,          0.00055446,             0.95889,             0.87889,             0.94796,             0.62196,             0.02843,           0.0068731,           0.0017896,            0.001486,            0.001486,            0.001486
                  45,            0.032051,            0.012473,          0.00063571,             0.95404,             0.89286,             0.94938,              0.6307,            0.028399,           0.0067771,           0.0014857,            0.001288,            0.001288,            0.001288
                  46,            0.031899,            0.012338,          0.00059005,             0.96406,             0.88492,             0.94747,             0.62994,            0.028133,            0.006835,           0.0013736,             0.00109,             0.00109,             0.00109
                  47,            0.031464,            0.012124,           0.0006028,             0.96113,             0.88184,             0.95071,             0.62982,            0.027996,           0.0067926,           0.0016258,            0.000892,            0.000892,            0.000892
                  48,            0.031549,            0.012369,          0.00052885,             0.96283,             0.88516,             0.94868,             0.63128,            0.028117,           0.0068111,           0.0017371,            0.000694,            0.000694,            0.000694
                  49,            0.031238,            0.012259,          0.00059314,             0.95734,             0.88989,              0.9523,             0.63369,            0.027928,           0.0067704,           0.0016999,            0.000496,            0.000496,            0.000496
